artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works,birth_year_span_start
1036756556,"Beyer, Charles",Meißen,1792,1,1750
1036868575,"Vigneron, Pierre-Roch",Vosnon,1789,5,1750
1037094409,"Gautier d’Agoty, Jean-Baptiste",Paris,1740,2,1700
1037240464,"Audran, Jean",Lyon,1667,10,1650
103728254X,"Clouwet, Peeter",Antwerpen,1629,1,1600
1037332962,"Spilman, Hendricus",Amsterdam,1721,1,1700
1037339835,"Ingouf, Pierre Charles",Paris,1746,3,1700
1037385446,"Macret, Charles François Adrien",Abbeville,1751,1,1750
1037458052,"Abel-Truchet, Louis",Versailles,1857,6,1850
103750746,"Goeree, Jan",Middelburg,1670,1,1650
1037567692,"Mayer, Lucas",Augsburg,1550,6,1550
1037695119,"Delen, Dirck van",Heusden (Nordbrabant),1605,2,1600
1037838076,"Mey, Rafael de",Köln,1580,3,1550
1037851226,"Teply, Joseph",Prag,1814,2,1800
1037992652,"Deifel, Johann Leonhard",Nürnberg,1812,1,1800
1038083508,"Heilbuth, Ferdinand",Hamburg,1826,2,1800
1038357195,"Bovinet, Edme",Chaumont (Haute-Marne),1767,1,1750
1038387183,"Brun, Franz",Straßburg,1579,15,1550
104045469,"Schley, Jacob van der",Amsterdam,1715,13,1700
104058250,"Verkolje, Nicolaas",Delft,1673,2,1650
104114614,"Wierix II, Antonius",Amsterdam,1555,4,1550
104144769,"Desrochers, Étienne Jehandier",Lyon,1668,2,1650
104148187,"Boilly, Julien Léopold",Paris,1796,8,1750
104160802,"Schmidt, Georg Friedrich",Schönerlinde bei Berlin,1712,2,1700
1042042489,"Roger, Barthélemy Joseph Fulcran",Lodève,1770,4,1750
104227818,"Noël, Alphonse Léon",Paris,1807,9,1800
104242337,"Manuel, Hans Rudolf",Erlach (Kanton Bern),1525,1,1500
104243430,"Galle, Cornelis",Antwerpen,1576,4,1550
104243473,"Leu, Thomas de",Paris,1555,1,1550
1042513325,"Tilliard, Jean-Baptiste",Paris,1740,9,1700
104277009,"Boissard, Jean Jacques",Besançon,1528,1,1500
1043022996,"Holsteijn, Pieter",Haarlem,1590,1,1550
104303875,"David, François Anne",Paris,1741,3,1700
104304243,"Verhelst, Aegid",Ettal,1733,2,1700
1043070591,"Wilborn, Nicolaus",Lübeck,1501,18,1500
104310499,"Anonym, französisch, 18. Jahrhundert",Langres,1701,1,1700
104364815,"Français, François Louis",Plombières,1814,37,1800
104372923,"Tanjé, Pieter",Bolsward,1706,5,1700
104377852,"Fokke, Simon",Amsterdam,1712,1,1700
1043782435,"Kolb, August",Heidingsfeld,1816,1,1800
1044202602,"Coupé, Antoine Jean Baptiste",Paris,1784,7,1750
104430698X,"Löwensohn, Gerson",Fürth (Bayern),1817,1,1800
1044592869,"Martszen, Jan",Haarlem,1610,1,1600
1045159832,"Goettich, Paul",Augsburg,1586,1,1550
1045327565,"Cotta, Heinrich",Rudolstadt,1791,1,1750
1045412228,"Le Lorrain, Louis-Joseph",Paris,1715,1,1700
1046391720,"Simonet, Jean-Baptiste Blaise",Paris,1742,2,1700
1047112019,"Bléry, Eugène",Fontainebleau,1805,179,1800
1047205033,"Aubry-Lecomte, Hyacinthe-Louis-Victor-Jean-Baptiste",Nizza,1787,2,1750
1047574144,"Duclos, Antoine Jean",Paris,1742,2,1700
1047968142,"Descourtis, Charles Melchior",Paris,1753,7,1750
1049297334,"Conscience, Francis",Besançon,1794,8,1750
104940730X,"Liotard, Jean-Michel",Genf,1702,1,1700
1049816668,"Cave, François Morellon de la",Den Haag,1696,1,1650
1050206363,"Pollet, Victor Florence",Paris,1811,1,1800
1050425057,"Bourgeois de la Richardiere, Anton Achille",Polná,1777,1,1750
1050425472,"Blot, Maurice",Paris,1753,2,1750
1050468910,"François, Alphonse",Paris,1814,4,1800
1050472047,"Geille, Amédé Felix Barthélemy",La-Ciotat,1802,1,1800
1050530195,"Vallot, Philippe Joseph Auguste",Wien,1796,2,1750
1050549384,"Leguay, Eugène",Paris,1822,1,1800
1050561422,"Hédouin, Edmond",Boulogne-sur-Mer,1820,1,1800
1050695348,"Lafitte, Louis",Paris,1770,1,1750
1050695348,"Simon, Jean Pierre",Paris,1764,1,1750
1050829786,"Fragonard, Théophile",Paris,1806,1,1800
1051486335,"Gauchard, Jean",Paris,1825,1,1800
1051538955,"Tardieu, Jacques-Nicholas",Paris,1716,4,1700
1051651840,"Kerkhoff, Daniël",Amsterdam,1766,2,1750
1051994926,"Dupuis, Charles",Paris,1685,1,1650
1052291805,"Colin, Alexandre-Marie",Paris,1798,10,1750
1052872549,"Leyser, Ernst Polycarp von",Dresden,1792,1,1750
1053307578,"Moyreau, Jean",Orléans,1690,1,1650
1053981732,"Morse, Auguste Achille",Paris,1801,1,1800
1053990588,"Bellel, Jean-Joseph",Paris,1816,1,1800
1054943370,"Poilly, Jean-Baptiste de",Paris,1669,10,1650
1055255176,"Réville, Jean-Baptiste",Paris,1767,1,1750
1055267409,"Patas, Jean-Baptiste",Paris,1748,1,1700
1055478736,"Demarteau, Gilles-Antoine",Lüttich,1750,3,1750
1055483373,"Flameng, François",Paris,1856,4,1850
1055544798,Anonym,Delft,1517,1,1500
1055603360,"Goossens, Jan Baptist",Antwerpen,1651,6,1650
1056517204,"Daubigny, Karl",Paris,1846,1,1800
1057765406,"Audran, Benoît 2",Paris,1698,6,1650
1057765929,Anonym,Lyon,1811,1,1800
1057765929,"Anonym, französisch, 19. Jahrhundert",Lyon,1801,2,1800
1057765929,"Casati, A.",Lyon,1784,2,1750
1057767247,"Girardet, Paul",Neuchâtel,1821,1,1800
1057769878,"Vendramini, Giovanni",Bassano del Grappa,1769,1,1750
1063142644,"Fremy, Jacques Marie Noël",Paris,1782,1,1750
106471062X,"Desperet, Auguste",Lyon,1804,2,1800
1065633092,Zoan Andrea,Mantua,1424,6,1400
1066349363,"Mander, Karel van",Delft,1609,1,1600
1067955577,"Nitot, Michel",Chézy-sur-Marne,1759,2,1750
1069411140,"Danse, Louise",Brüssel,1865,1,1850
1069543888,"Crépy, Louis",Paris,,3,
1071565168,"Desplaces, Louis",Paris,1682,14,1650
1072318164,"Lorraine, Jean-Baptiste de",Paris,1737,2,1700
1072529262,"Rajon, Paul",Dijon,1842,53,1800
1073303780,"Battem, Gerrit",Rotterdam,1636,1,1600
1073332284,"Klotz, Valentin",Maastricht,1650,2,1650
108053895X,"Bouzonnet Stella, Antoine",Lyon,1637,1,1600
1085656845,"Masson, Alphonse Charles",Paris,1814,3,1800
1085662985,"Aristide, Louis",Toul,1815,5,1800
1089414307,"Himely, Sigismond",La Neuveville,1801,2,1800
1089456840,"Larmessin, Nicolas de",Paris,1684,24,1650
108947914X,"Marin-Lavigne, Louis Stanislas",Paris,1797,2,1750
1089540558,"Anonym, französisch, 18. Jahrhundert",Paris,1701,1,1700
1089540558,"Rousseau, Jean François",Paris,1740,1,1700
1089656378,"Parizeau, Philippe Louis",Paris,1740,70,1700
1089797494,"Le Sueur, Nicolas",Paris,1691,9,1650
1089871864,"Trière, Philippe",Paris,1756,3,1750
1089889801,"Aveline, François-Antoine",Paris,1718,1,1700
1089890257,"Voyez, François",Abbeville,1746,1,1700
1089891024,"Ponce, Marguerite",Paris,1745,1,1700
1089891156,"Martinasie, Pieter Franciscus",Antwerpen,1729,1,1700
109065619X,"Duvivier, Ignace",Rians (Var),1758,19,1750
1090657730,"Legrand, Louis Claude",Paris,1723,3,1700
1093243015,"Katsukawa, Shunʼei",Tokio,1762,13,1750
1097781372,"Maignan, Albert",Beaumont-sur-Sarthe,1845,2,1800
1098220455,"Wet, Jacob Willemsz de",Haarlem,1610,6,1600
1100740139,"Sorrieu, Frédéric",Paris,1807,1,1800
1104403269,"Andrieu, Pierre",Fenouillet (Département Haute-Garonne),1821,6,1800
1105059855,"Andrieux, Clément-Auguste",Paris,1829,2,1800
111017378,Anonym,Lauban,1515,1,1500
111017378,Monogrammist CB,Lauban,1501,1,1500
111017378,"Scharffenberg, Crispin",Lauban,1515,29,1500
1110903197,"Mauduit, Charles Louis Victor",Rouen,1788,1,1750
1111809364,"Thévenin, Jean Charles",Rom,1819,2,1800
1117244504,"Torii, Kiyonobu I",Osaka,1664,2,1650
1122606370,"Pauquet, Jean Louis Charles",Paris,1759,1,1750
1122748809,"Prudhomme, Hippolyte",Paris,1793,1,1750
1124626409,"Stroebel, Johannes Anthonie Balthasar",Den Haag,1821,1,1800
1127149733,"Dupré, Daniel",Amsterdam,1752,1,1750
1127788922,"Elle, Louis",Paris,1612,10,1600
1129895408,"Jeaurat, Edme",Vermenton,1688,10,1650
1133515304,"Lecomte, Paul",Paris,1842,3,1800
1135681295,"Does, Jacob van der",Amsterdam,1623,1,1600
1136444610,"Pirodon, Eugène Louis",Grenoble,1824,12,1800
1140536648,"François, Jules",Paris,1809,1,1800
1141801280,"Dujardin, Paul Rodolphe Joseph",Lille,1843,1,1800
1145070302,"Heer, Willem de",Leeuwarden,1637,1,1600
1146679947,"Avril, Jean Jaques",Paris,1744,2,1700
1148117067,"Chéreau, Jacques",Blois,1688,2,1650
115064804X,"Pichot Gironés, Ramón Antonio",Barcelona,1871,1,1850
1153229943,"Godin, Henri-Joseph",Seraing,1747,1,1700
115389385,"Mayer, Carl",Nürnberg,1798,1,1750
1154947270,"Gillberg, Jacob",Län Värmland,1724,2,1700
11550656X,"Helman, Isidore-Stanislas",Lille,1743,6,1700
115603808,"Laurens, Jules",Carpentras,1825,39,1800
115648356,"Lasteyrie, Charles de",Brive-la-Gaillarde,1759,5,1750
115750759X,"Bronzetti, Carlo Giuseppe",Roverè della Luna,1788,2,1750
115758240,Anonym,Altötting,1782,1,1750
115758240,"Strixner, Johann Nepomuk",Altötting,1782,119,1750
115813535,"Collaert, Jan",Antwerpen,1566,7,1550
115858679,"Anonym, deutsch, 16. Jahrhundert",Reutlingen,1501,2,1500
115866655,"Anonym, deutsch, 18. Jahrhundert",Nancy,1701,1,1700
115866655,"Isabey, Jean Baptiste",Nancy,1767,21,1750
1159731004,"Detouche, Henry",Paris,1854,1,1850
116006048,"Anonym, englisch, 19. Jahrhundert",Stollberg/Erzgeb.,1801,5,1800
116057661,"Delaroche, Paul",Paris,1797,4,1750
116057661,"Delaunois, Pierre-Denis-Marie",Paris,1783,1,1750
116057661,"Rousseaux, Émile",Paris,1831,1,1800
116088451,"Anonym, französisch, 19. Jahrhundert",Paris,1801,1,1800
116088451,"Devéria, Achille",Paris,1800,160,1800
116118458,"Bendixen, Siegfried Detlev",Kiel,1786,1,1750
11612573X,"Kellerhoven, Moritz",Altenrath,1758,1,1750
116128844,"Petrak, Alois",Königseck (Böhmen),1811,4,1800
116130709,"Berger, D.",Berlin,1744,1,1700
116179694,"Pieneman, Jan Willem",Abcoude,1779,1,1750
116187042,"Kirchner, Johann Jakob",Nürnberg,1788,1,1750
116239689,"Abel de Pujol, Alexandre Denis",Valenciennes,1785,4,1750
116246782,"Plüddemann, Hermann",Kolberg,1809,1,1800
116282940,"Prestel, Maria Katharina",Nürnberg,1747,5,1700
116302860,"König, Gustav",Coburg,1808,5,1800
1163347523,"Thouvenin, Jean",Paris,1765,4,1750
1163352020,"Kobo, Shunman",Tokio,1757,1,1750
116364084,"Rauch, Karl",Darmstadt,1804,1,1800
116391820,"Haid, Johann Elias",Augsburg,1739,1,1700
116415991,"Reindel, Albert",Nürnberg,1784,4,1750
116430907,"Calame, Alexandre",Vevey,1810,463,1800
116438274,"Garnier, François",Lormes,1800,1,1800
116492007,"Charlemont, Eduard",Wien,1848,1,1800
116501065,"Anonym, französisch, 19. Jahrhundert",Offenburg,1801,1,1800
116510544,"Harzen, Ernst",Altona,1790,1,1750
116541989,"Geißler, Friedrich Johann Martin",Nürnberg,1778,1,1750
1165602059,"Masquelier, Nicolas François Joseph",Flers (Nord),1760,1,1750
116586761,"Flachenecker, Ferdinand Wolfgang",Zirndorf,1792,2,1750
116602821,"Fleischmann, Friedrich",Nürnberg,1791,6,1750
116608404,"Roqueplan, Camille",Mallemort,1802,38,1800
11661451X,"Geyser, Christian Gottlieb",Görlitz,1742,1,1700
116656034,"Heim, François Joseph",Belfort,1787,1,1750
1166576817,"Desvachez, David",Valenciennes,1822,2,1800
116665165,"Loutrel, Victor Jean Baptiste",Paris,1821,1,1800
116665165,"Soulange-Teissier, Louis Emmanuel",Paris,1814,1,1800
1167430271,"Romeyn, Willem",Haarlem,1624,1,1600
1167550714,"Negelen, Joseph Mathias",Porrentruy,1792,2,1750
116756802,"Herrmann, Paul",München,1864,16,1850
116848553,"Léandré, Charles",Champsecret,1862,3,1850
116862297,"Meil, Johann Wilhelm",Altenburg (Thüringen),1733,13,1700
116884800,"Leisnier, Nicolás Auguste",Paris,1787,3,1750
116908327,"Gubitz, Friedrich W.",Leipzig,1786,3,1750
116909072,"Gudin, Théodore",Paris,1802,20,1800
116961678,"Levesque, Pierre Ch.",Paris,1736,1,1700
116985305,"Neuville, Alphonse Marie de",Saint-Omer (Departement Pas-de-Calais),1835,5,1800
117049735,"Jacquemart, Jules Ferdinand",Paris,1837,164,1800
117051764,"Huet, Paul",Paris,1803,37,1800
117086177,"Loedel, Heinrich",Hameln,1798,1,1750
117122726,"Coudrey, R. du",Paris,1851,1,1850
117142832,"Mordant, Daniel",Quimper,1853,2,1850
117151858,"Carey, Charles Philippe Auguste",Offenbach am Main,1824,1,1800
117151858,Garnier,Offenbach am Main,1801,1,1800
117151858,"Johannot, Tony",Offenbach am Main,1803,25,1800
117151858,"Riffaut, Adolphe Pierre",Offenbach am Main,1821,2,1800
117183016,"Buser, Friedrich",Aarau,1797,2,1750
117258709,"Steinla, Moritz",Steinlah bei Seesen,1791,1,1750
117316709,"Lunteschütz, Jules",Besancon,1822,11,1800
117340898,"Anonym, französisch, 19. Jahrhundert",Herserange,1801,1,1800
117340898,"Valério, Theodore",Herserange,1819,194,1800
11738027X,"Wilder, Georg Christoph",Nürnberg,1797,3,1750
1174539836,"Zeune, Johann Conrad",Sankt Georgen (Bayreuth),1764,3,1750
117500518,"Anonym, 19. Jahrhundert",Mülhausen,1801,1,1800
117500518,"Anonym, französisch, 19. Jahrhundert",Mülhausen,1801,1,1800
117500518,"Bouteiller, Louise",Mülhausen,1783,4,1750
117500518,"Dejuine, Joseph Noël",Mülhausen,1771,1,1750
117500518,"Deseynes, A.",Mülhausen,1788,2,1750
117500518,"Dupressoir, François Joseph",Mülhausen,1800,1,1800
117500518,"Engelmann, Godefroy",Mülhausen,1788,7,1750
117500518,"Gudin, Louis",Mülhausen,1799,1,1750
117500518,"Jacomin, Jean-Marie",Mülhausen,1789,1,1750
117500518,"Villeneuve, Julien Vallou de",Mülhausen,1795,1,1750
117500518,"Villeneuve, Louis Jules Frédéric",Mülhausen,1796,2,1750
117500518,"Weber, Antoine Jean",Mülhausen,1797,1,1750
117500518,"du Bois de Perray, Henri Jean",Mülhausen,1801,1,1800
117512370,"Flameng, Leopold",Brüssel,1831,124,1800
11751716X,"Henriquel-Dupont, Louis-Pierre",Paris,1797,4,1750
117520896,"Forster, François",Le Locle,1790,6,1750
117526894,"Soulange-Teissier, Louis Emmanuel",Berlin,1814,1,1800
11753207X,"Richomme, Joseph Théodore",Paris,1785,4,1750
117545228,"Girardet, Eduard",Le Locle,1819,2,1800
117545236,"Girardet, Karl",Le Locle,1813,2,1800
117570427,"Meynier, Charles",Paris,1768,2,1750
11758973X,"Bervic, Charles-Clement",Paris,1756,5,1750
117590304,"Biard, François-Auguste",Lyon,1798,2,1750
11759038X,"Bida, Alexandre",Toulouse,1813,1,1800
117592757,"Mueller, Johann Gotthard",Bernhausen <Fildern>,1747,1,1700
117601624,"Morgenstern, Johann Friedrich",Frankfurt am Main,1777,1,1750
117607703,"Ouvrié, Pierre Justin",Paris,1806,3,1800
117612871,"Lebas, Louis Hippolyte",Paris,1782,1,1750
117615633,"Lehmann, Henri",Ottensen,1814,1,1800
117622699,"Dauzats, Adrien",Bordeaux,1804,1,1800
117637327,"Dien, Claude-Marie-François",Paris,1787,4,1750
117640395,"Lepoittevin, Eugène-Modeste-Edmond",Paris,1806,8,1800
117651311,"Chaplin, Charles",Les Andelys,1825,46,1800
117668885,"Audouin, Pierre",Paris,1768,1,1750
11768483X,"Paris, Pierre Adrien",Besançon,1745,3,1700
1176979914,"Muret, Jean-Baptiste",Versailles,1795,1,1750
117768006,"Beauvais, Nicolas Dauphin de",Paris,1687,2,1650
1178348814,"Flipart, Joseph",Paris,1721,1,1700
1179403304,"Lefman, Ferdinand",Paris,1840,1,1800
1180080726,"Dufour, Pierre-Charles-Nicolas",Abbeville,1725,1,1700
118064657,"Sadeler, Ægidius",Antwerpen,1570,18,1550
118167375,Anonym,Fulda,1495,1,1450
118167375,"Anonym, deutsch, 16. Jahrhundert",Fulda,1501,1,1500
118167375,"Brosamer, Hans",Fulda,1495,69,1450
118167472,"Broeck, Barbara van den",Antwerpen,1558,1,1550
118167472,"Broeck, Crispin van den",Antwerpen,1524,1,1500
118167472,"Ditmar, Johannes",Antwerpen,1533,1,1500
1182578705,Anonym,Düsseldorf,1688,1,1650
1182578705,"Douven, Bartholomeus",Düsseldorf,1688,1,1650
118501755,"Aldegrever, Heinrich",Paderborn,1502,287,1500
118501755,Anonym,Paderborn,1502,5,1500
118501755,"Anonym, deutsch, 16. Jahrhundert",Paderborn,1501,10,1500
118501755,Meister mit den Pferdeköpfen,Paderborn,1502,2,1500
118501755,Monogrammist AGI,Paderborn,1480,1,1450
118501755,Monogrammist BH,Paderborn,1501,1,1500
118501755,Monogrammist CV,Paderborn,1501,1,1500
118501755,Monogrammist ID,Paderborn,1501,1,1500
118501755,"Sablon, Pierre",Paderborn,1584,1,1550
118502239,"Altdorfer, Erhard",Regensburg,1480,1,1450
118502239,"Anonym, deutsch, 16. Jahrhundert",Regensburg,1501,2,1500
118502573,"Amman, Jost",Zürich,1539,62,1500
118502573,"Anonym, deutsch, 18. Jahrhundert",Zürich,1701,2,1700
118502573,Monogrammist HF,Zürich,1501,3,1500
118503871,"Anonym, deutsch, 16. Jahrhundert",Mailand,1501,1,1500
118506188,"Baldung Grien, Hans",Schwäbisch Gmünd,1484,30,1450
118506188,Monogrammist GB,Schwäbisch Gmünd,1600,1,1600
118507826,"Beardsley, Aubrey",Brighton,1872,1,1850
118508210,"Beckmann, Max",Leipzig,1884,2,1850
118508326,Anonym,Nürnberg,1500,72,1500
118508326,"Anonym, deutsch, 16. Jahrhundert",Nürnberg,1501,34,1500
118508326,"Beham, Sebald",Nürnberg,1500,393,1500
118508326,Monogrammist ATF,Nürnberg,1501,1,1500
118508326,Monogrammist BSB,Nürnberg,1500,1,1500
118508326,Monogrammist CG III.,Nürnberg,1529,1,1500
118508326,Monogrammist HD,Nürnberg,1500,1,1500
118508326,Monogrammist R.K.F.,Nürnberg,1500,1,1500
118508326,Monogrammist RB,Nürnberg,1501,1,1500
118512323,"Bodmer, Karl",Zürich,1809,2,1800
118513281,"Bonnard, Pierre",Fontenay-aux-Roses,1867,96,1850
118514474,"Anonym, deutsch, 16. Jahrhundert",Straßburg,1501,2,1500
118514504,"Braque, Georges",Argenteuil,1882,2,1850
118515195,"Breu, Jörg",Augsburg,1480,5,1450
118515209,"Breu, Jörg",Augsburg,1510,3,1500
11851640X,"Bry, Johann Theodor de",Straßburg,1561,17,1550
118516418,"Bry, Theodor de",Lüttich,1528,72,1500
11851850X,"Anonym, 17. Jahrhundert",Nancy,1601,40,1600
11851850X,"Anonym, französisch, 17. Jahrhundert",Nancy,1601,65,1600
11851850X,"Anonym, niederländisch, 17. Jahrhundert",Nancy,1601,2,1600
11851850X,"Callot, Jacques",Nancy,1592,980,1550
118519034,"Fatoure, Pierre",Mailand,1550,1,1550
118519212,"Carpeaux, Jean-Baptiste",Valenciennes,1827,4,1800
118519255,"Carracci, Annibale",Bologna,1560,2,1550
118519476,"Cassatt, Mary",Allegheny,1844,7,1800
118519891,Anonym,Wipfeld,1459,1,1450
118519980,"Chagall, Marc",Witebsk,1887,6,1850
118520512,"Chodowiecki, Daniel",Danzig,1726,32,1700
118522140,"Corinth, Lovis",Tapiau,1858,3,1850
118522256,"Anonym, französisch, 19. Jahrhundert",Paris,1801,1,1800
118522256,"Chauvel, Théophile Narcisse",Paris,1831,1,1800
118522256,"Corot, Jean-Baptiste-Camille",Paris,1796,25,1750
118522450,"Courbet, Gustave",Ornans,1819,3,1800
118522582,Anonym,Kronach,1472,1,1450
118522582,"Anonym, deutsch, 16. Jahrhundert",Kronach,1501,3,1500
118522582,"Cranach, Lucas, der Ältere",Kronach,1472,79,1450
118522582,Monogrammist MV,Kronach,1501,1,1500
118522590,"Anonym, deutsch, 16. Jahrhundert",Wittenberg,1501,2,1500
118523880,"Anonym, 19. Jahrhundert",Marseille,1801,5,1800
118523880,"Anonym, französisch, 19. Jahrhundert",Marseille,1801,1,1800
118523880,"Daumier, Honoré",Marseille,1808,471,1800
118523945,"Anonym, französisch, 17. Jahrhundert",Paris,1601,1,1600
118523945,"David, Jacques Louis",Paris,1748,19,1700
118524291,"Degas, Edgar",Paris,1834,27,1800
118524496,"Delaunay, Robert",Paris,1885,7,1850
118524755,"Derain, André",Chatou,1880,30,1850
11852559X,"Anonym, deutsch, 17. Jahrhundert",Pfullendorf,1601,2,1600
11852559X,"Dietterlin, Wendel",Pfullendorf,1550,11,1550
118526839,"Anonym, französisch, 19. Jahrhundert",Straßburg,1801,1,1800
118526839,Clarlante,Straßburg,1801,1,1800
