artistGNDId,artistName (preferred),placeOfBirth,birth year,num_works
1047574144,"Duclos, Antoine Jean",Paris,1742,2
1047968142,"Descourtis, Charles Melchior",Paris,1753,7
1049297334,"Conscience, Francis",Besançon,1794,8
104940730X,"Liotard, Jean-Michel",Genf,1702,1
1049816668,"Cave, François Morellon de la",Den Haag,1696,1
1050206363,"Pollet, Victor Florence",Paris,1811,1
1050425057,"Bourgeois de la Richardiere, Anton Achille",Polná,1777,1
1050425472,"Blot, Maurice",Paris,1753,2
1050468910,"François, Alphonse",Paris,1814,4
1050472047,"Geille, Amédé Felix Barthélemy",La-Ciotat,1802,1
1050530195,"Vallot, Philippe Joseph Auguste",Wien,1796,2
1050549384,"Leguay, Eugène",Paris,1822,1
1050561422,"Hédouin, Edmond",Boulogne-sur-Mer,1820,1
1050695348,"Lafitte, Louis",Paris,1770,1
1050695348,"Simon, Jean Pierre",Paris,1764,1
1050829786,"Fragonard, Théophile",Paris,1806,1
1051486335,"Gauchard, Jean",Paris,1825,1
1051538955,"Tardieu, Jacques-Nicholas",Paris,1716,4
1051651840,"Kerkhoff, Daniël",Amsterdam,1766,2
1051994926,"Dupuis, Charles",Paris,1685,1
1052291805,"Colin, Alexandre-Marie",Paris,1798,10
1052872549,"Leyser, Ernst Polycarp von",Dresden,1792,1
1053307578,"Moyreau, Jean",Orléans,1690,1
1053981732,"Morse, Auguste Achille",Paris,1801,1
1053990588,"Bellel, Jean-Joseph",Paris,1816,1
1054943370,"Poilly, Jean-Baptiste de",Paris,1669,10
1055255176,"Réville, Jean-Baptiste",Paris,1767,1
1055267409,"Patas, Jean-Baptiste",Paris,1748,1
1055478736,"Demarteau, Gilles-Antoine",Lüttich,1750,3
1055483373,"Flameng, François",Paris,1856,4
1055544798,Anonym,Delft,1517,1
1055603360,"Goossens, Jan Baptist",Antwerpen,1651,6
1056517204,"Daubigny, Karl",Paris,1846,1
1057765406,"Audran, Benoît 2",Paris,1698,6
1057765929,Anonym,Lyon,1811,1
1057765929,"Anonym, französisch, 19. Jahrhundert",Lyon,1801,2
1057765929,"Casati, A.",Lyon,1784,2
1057767247,"Girardet, Paul",Neuchâtel,1821,1
1057769878,"Vendramini, Giovanni",Bassano del Grappa,1769,1
1063142644,"Fremy, Jacques Marie Noël",Paris,1782,1
106471062X,"Desperet, Auguste",Lyon,1804,2
1065633092,Zoan Andrea,Mantua,1424,6
1066349363,"Mander, Karel van",Delft,1609,1
1067955577,"Nitot, Michel",Chézy-sur-Marne,1759,2
1069411140,"Danse, Louise",Brüssel,1865,1
1069543888,"Crépy, Louis",Paris,,3
1071565168,"Desplaces, Louis",Paris,1682,14
1072318164,"Lorraine, Jean-Baptiste de",Paris,1737,2
1072529262,"Rajon, Paul",Dijon,1842,53
1073303780,"Battem, Gerrit",Rotterdam,1636,1
1073332284,"Klotz, Valentin",Maastricht,1650,2
108053895X,"Bouzonnet Stella, Antoine",Lyon,1637,1
1085656845,"Masson, Alphonse Charles",Paris,1814,3
1085662985,"Aristide, Louis",Toul,1815,5
1089414307,"Himely, Sigismond",La Neuveville,1801,2
1089456840,"Larmessin, Nicolas de",Paris,1684,24
108947914X,"Marin-Lavigne, Louis Stanislas",Paris,1797,2
1089540558,"Anonym, französisch, 18. Jahrhundert",Paris,1701,1
1089540558,"Rousseau, Jean François",Paris,1740,1
1089656378,"Parizeau, Philippe Louis",Paris,1740,70
1089797494,"Le Sueur, Nicolas",Paris,1691,9
1089871864,"Trière, Philippe",Paris,1756,3
1089889801,"Aveline, François-Antoine",Paris,1718,1
1089890257,"Voyez, François",Abbeville,1746,1
1089891024,"Ponce, Marguerite",Paris,1745,1
1089891156,"Martinasie, Pieter Franciscus",Antwerpen,1729,1
109065619X,"Duvivier, Ignace",Rians (Var),1758,19
1090657730,"Legrand, Louis Claude",Paris,1723,3
1093243015,"Katsukawa, Shunʼei",Tokio,1762,13
1097781372,"Maignan, Albert",Beaumont-sur-Sarthe,1845,2
1098220455,"Wet, Jacob Willemsz de",Haarlem,1610,6
1100740139,"Sorrieu, Frédéric",Paris,1807,1
1104403269,"Andrieu, Pierre",Fenouillet (Département Haute-Garonne),1821,6
1105059855,"Andrieux, Clément-Auguste",Paris,1829,2
111017378,Anonym,Lauban,1515,1
111017378,Monogrammist CB,Lauban,1501,1
111017378,"Scharffenberg, Crispin",Lauban,1515,29
1110903197,"Mauduit, Charles Louis Victor",Rouen,1788,1
1111809364,"Thévenin, Jean Charles",Rom,1819,2
1117244504,"Torii, Kiyonobu I",Osaka,1664,2
1122606370,"Pauquet, Jean Louis Charles",Paris,1759,1
1122748809,"Prudhomme, Hippolyte",Paris,1793,1
1124626409,"Stroebel, Johannes Anthonie Balthasar",Den Haag,1821,1
1127149733,"Dupré, Daniel",Amsterdam,1752,1
1127788922,"Elle, Louis",Paris,1612,10
1129895408,"Jeaurat, Edme",Vermenton,1688,10
1133515304,"Lecomte, Paul",Paris,1842,3
1135681295,"Does, Jacob van der",Amsterdam,1623,1
1136444610,"Pirodon, Eugène Louis",Grenoble,1824,12
1140536648,"François, Jules",Paris,1809,1
1141801280,"Dujardin, Paul Rodolphe Joseph",Lille,1843,1
1145070302,"Heer, Willem de",Leeuwarden,1637,1
1146679947,"Avril, Jean Jaques",Paris,1744,2
1148117067,"Chéreau, Jacques",Blois,1688,2
115064804X,"Pichot Gironés, Ramón Antonio",Barcelona,1871,1
1153229943,"Godin, Henri-Joseph",Seraing,1747,1
115389385,"Mayer, Carl",Nürnberg,1798,1
1154947270,"Gillberg, Jacob",Län Värmland,1724,2
11550656X,"Helman, Isidore-Stanislas",Lille,1743,6
115603808,"Laurens, Jules",Carpentras,1825,39
115648356,"Lasteyrie, Charles de",Brive-la-Gaillarde,1759,5
115750759X,"Bronzetti, Carlo Giuseppe",Roverè della Luna,1788,2
115758240,Anonym,Altötting,1782,1
115758240,"Strixner, Johann Nepomuk",Altötting,1782,119
115813535,"Collaert, Jan",Antwerpen,1566,7
115858679,"Anonym, deutsch, 16. Jahrhundert",Reutlingen,1501,2
115866655,"Anonym, deutsch, 18. Jahrhundert",Nancy,1701,1
115866655,"Isabey, Jean Baptiste",Nancy,1767,21
1159731004,"Detouche, Henry",Paris,1854,1
116006048,"Anonym, englisch, 19. Jahrhundert",Stollberg/Erzgeb.,1801,5
116057661,"Delaroche, Paul",Paris,1797,4
116057661,"Delaunois, Pierre-Denis-Marie",Paris,1783,1
116057661,"Rousseaux, Émile",Paris,1831,1
116088451,"Anonym, französisch, 19. Jahrhundert",Paris,1801,1
116088451,"Devéria, Achille",Paris,1800,160
116118458,"Bendixen, Siegfried Detlev",Kiel,1786,1
11612573X,"Kellerhoven, Moritz",Altenrath,1758,1
116128844,"Petrak, Alois",Königseck (Böhmen),1811,4
116130709,"Berger, D.",Berlin,1744,1
116179694,"Pieneman, Jan Willem",Abcoude,1779,1
116187042,"Kirchner, Johann Jakob",Nürnberg,1788,1
116239689,"Abel de Pujol, Alexandre Denis",Valenciennes,1785,4
116246782,"Plüddemann, Hermann",Kolberg,1809,1
116282940,"Prestel, Maria Katharina",Nürnberg,1747,5
116302860,"König, Gustav",Coburg,1808,5
1163347523,"Thouvenin, Jean",Paris,1765,4
1163352020,"Kobo, Shunman",Tokio,1757,1
116364084,"Rauch, Karl",Darmstadt,1804,1
116391820,"Haid, Johann Elias",Augsburg,1739,1
116415991,"Reindel, Albert",Nürnberg,1784,4
116430907,"Calame, Alexandre",Vevey,1810,463
116438274,"Garnier, François",Lormes,1800,1
116492007,"Charlemont, Eduard",Wien,1848,1
116501065,"Anonym, französisch, 19. Jahrhundert",Offenburg,1801,1
116510544,"Harzen, Ernst",Altona,1790,1
116541989,"Geißler, Friedrich Johann Martin",Nürnberg,1778,1
1165602059,"Masquelier, Nicolas François Joseph",Flers (Nord),1760,1
116586761,"Flachenecker, Ferdinand Wolfgang",Zirndorf,1792,2
116602821,"Fleischmann, Friedrich",Nürnberg,1791,6
116608404,"Roqueplan, Camille",Mallemort,1802,38
11661451X,"Geyser, Christian Gottlieb",Görlitz,1742,1
116656034,"Heim, François Joseph",Belfort,1787,1
1166576817,"Desvachez, David",Valenciennes,1822,2
116665165,"Loutrel, Victor Jean Baptiste",Paris,1821,1
116665165,"Soulange-Teissier, Louis Emmanuel",Paris,1814,1
1167430271,"Romeyn, Willem",Haarlem,1624,1
1167550714,"Negelen, Joseph Mathias",Porrentruy,1792,2
116756802,"Herrmann, Paul",München,1864,16
116848553,"Léandré, Charles",Champsecret,1862,3
116862297,"Meil, Johann Wilhelm",Altenburg (Thüringen),1733,13
116884800,"Leisnier, Nicolás Auguste",Paris,1787,3
116908327,"Gubitz, Friedrich W.",Leipzig,1786,3
116909072,"Gudin, Théodore",Paris,1802,20
116961678,"Levesque, Pierre Ch.",Paris,1736,1
116985305,"Neuville, Alphonse Marie de",Saint-Omer (Departement Pas-de-Calais),1835,5
117049735,"Jacquemart, Jules Ferdinand",Paris,1837,164
117051764,"Huet, Paul",Paris,1803,37
117086177,"Loedel, Heinrich",Hameln,1798,1
117122726,"Coudrey, R. du",Paris,1851,1
117142832,"Mordant, Daniel",Quimper,1853,2
117151858,"Carey, Charles Philippe Auguste",Offenbach am Main,1824,1
117151858,Garnier,Offenbach am Main,1801,1
117151858,"Johannot, Tony",Offenbach am Main,1803,25
117151858,"Riffaut, Adolphe Pierre",Offenbach am Main,1821,2
117183016,"Buser, Friedrich",Aarau,1797,2
117258709,"Steinla, Moritz",Steinlah bei Seesen,1791,1
117316709,"Lunteschütz, Jules",Besancon,1822,11
117340898,"Anonym, französisch, 19. Jahrhundert",Herserange,1801,1
117340898,"Valério, Theodore",Herserange,1819,194
11738027X,"Wilder, Georg Christoph",Nürnberg,1797,3
1174539836,"Zeune, Johann Conrad",Sankt Georgen (Bayreuth),1764,3
117500518,"Anonym, 19. Jahrhundert",Mülhausen,1801,1
117500518,"Anonym, französisch, 19. Jahrhundert",Mülhausen,1801,1
117500518,"Bouteiller, Louise",Mülhausen,1783,4
117500518,"Dejuine, Joseph Noël",Mülhausen,1771,1
117500518,"Deseynes, A.",Mülhausen,1788,2
117500518,"Dupressoir, François Joseph",Mülhausen,1800,1
117500518,"Engelmann, Godefroy",Mülhausen,1788,7
117500518,"Gudin, Louis",Mülhausen,1799,1
117500518,"Jacomin, Jean-Marie",Mülhausen,1789,1
117500518,"Villeneuve, Julien Vallou de",Mülhausen,1795,1
117500518,"Villeneuve, Louis Jules Frédéric",Mülhausen,1796,2
117500518,"Weber, Antoine Jean",Mülhausen,1797,1
117500518,"du Bois de Perray, Henri Jean",Mülhausen,1801,1
117512370,"Flameng, Leopold",Brüssel,1831,124
11751716X,"Henriquel-Dupont, Louis-Pierre",Paris,1797,4
117520896,"Forster, François",Le Locle,1790,6
117526894,"Soulange-Teissier, Louis Emmanuel",Berlin,1814,1
11753207X,"Richomme, Joseph Théodore",Paris,1785,4
117545228,"Girardet, Eduard",Le Locle,1819,2
117545236,"Girardet, Karl",Le Locle,1813,2
117570427,"Meynier, Charles",Paris,1768,2
11758973X,"Bervic, Charles-Clement",Paris,1756,5
117590304,"Biard, François-Auguste",Lyon,1798,2
11759038X,"Bida, Alexandre",Toulouse,1813,1
117592757,"Mueller, Johann Gotthard",Bernhausen <Fildern>,1747,1
117601624,"Morgenstern, Johann Friedrich",Frankfurt am Main,1777,1
117607703,"Ouvrié, Pierre Justin",Paris,1806,3
117612871,"Lebas, Louis Hippolyte",Paris,1782,1
117615633,"Lehmann, Henri",Ottensen,1814,1
117622699,"Dauzats, Adrien",Bordeaux,1804,1
117637327,"Dien, Claude-Marie-François",Paris,1787,4
117640395,"Lepoittevin, Eugène-Modeste-Edmond",Paris,1806,8
117651311,"Chaplin, Charles",Les Andelys,1825,46
117668885,"Audouin, Pierre",Paris,1768,1
11768483X,"Paris, Pierre Adrien",Besançon,1745,3
1176979914,"Muret, Jean-Baptiste",Versailles,1795,1
117768006,"Beauvais, Nicolas Dauphin de",Paris,1687,2
1178348814,"Flipart, Joseph",Paris,1721,1
1179403304,"Lefman, Ferdinand",Paris,1840,1
1180080726,"Dufour, Pierre-Charles-Nicolas",Abbeville,1725,1
118064657,"Sadeler, Ægidius",Antwerpen,1570,18
118167375,Anonym,Fulda,1495,1
118167375,"Anonym, deutsch, 16. Jahrhundert",Fulda,1501,1
118167375,"Brosamer, Hans",Fulda,1495,69
118167472,"Broeck, Barbara van den",Antwerpen,1558,1
118167472,"Broeck, Crispin van den",Antwerpen,1524,1
118167472,"Ditmar, Johannes",Antwerpen,1533,1
1182578705,Anonym,Düsseldorf,1688,1
1182578705,"Douven, Bartholomeus",Düsseldorf,1688,1
118501755,"Aldegrever, Heinrich",Paderborn,1502,287
118501755,Anonym,Paderborn,1502,5
118501755,"Anonym, deutsch, 16. Jahrhundert",Paderborn,1501,10
118501755,Meister mit den Pferdeköpfen,Paderborn,1502,2
118501755,Monogrammist AGI,Paderborn,1480,1
118501755,Monogrammist BH,Paderborn,1501,1
118501755,Monogrammist CV,Paderborn,1501,1
118501755,Monogrammist ID,Paderborn,1501,1
118501755,"Sablon, Pierre",Paderborn,1584,1
118502239,"Altdorfer, Erhard",Regensburg,1480,1
118502239,"Anonym, deutsch, 16. Jahrhundert",Regensburg,1501,2
118502573,"Amman, Jost",Zürich,1539,62
118502573,"Anonym, deutsch, 18. Jahrhundert",Zürich,1701,2
118502573,Monogrammist HF,Zürich,1501,3
118503871,"Anonym, deutsch, 16. Jahrhundert",Mailand,1501,1
118506188,"Baldung Grien, Hans",Schwäbisch Gmünd,1484,30
118506188,Monogrammist GB,Schwäbisch Gmünd,1600,1
118507826,"Beardsley, Aubrey",Brighton,1872,1
118508210,"Beckmann, Max",Leipzig,1884,2
118508326,Anonym,Nürnberg,1500,72
118508326,"Anonym, deutsch, 16. Jahrhundert",Nürnberg,1501,34
118508326,"Beham, Sebald",Nürnberg,1500,393
118508326,Monogrammist ATF,Nürnberg,1501,1
118508326,Monogrammist BSB,Nürnberg,1500,1
118508326,Monogrammist CG III.,Nürnberg,1529,1
118508326,Monogrammist HD,Nürnberg,1500,1
118508326,Monogrammist R.K.F.,Nürnberg,1500,1
118508326,Monogrammist RB,Nürnberg,1501,1
118512323,"Bodmer, Karl",Zürich,1809,2
118513281,"Bonnard, Pierre",Fontenay-aux-Roses,1867,96
118514474,"Anonym, deutsch, 16. Jahrhundert",Straßburg,1501,2
118514504,"Braque, Georges",Argenteuil,1882,2
118515195,"Breu, Jörg",Augsburg,1480,5
118515209,"Breu, Jörg",Augsburg,1510,3
11851640X,"Bry, Johann Theodor de",Straßburg,1561,17
118516418,"Bry, Theodor de",Lüttich,1528,72
11851850X,"Anonym, 17. Jahrhundert",Nancy,1601,40
11851850X,"Anonym, französisch, 17. Jahrhundert",Nancy,1601,65
11851850X,"Anonym, niederländisch, 17. Jahrhundert",Nancy,1601,2
11851850X,"Callot, Jacques",Nancy,1592,980
118519034,"Fatoure, Pierre",Mailand,1550,1
118519212,"Carpeaux, Jean-Baptiste",Valenciennes,1827,4
118519255,"Carracci, Annibale",Bologna,1560,2
118519476,"Cassatt, Mary",Allegheny,1844,7
118519891,Anonym,Wipfeld,1459,1
118519980,"Chagall, Marc",Witebsk,1887,6
118520512,"Chodowiecki, Daniel",Danzig,1726,32
118522140,"Corinth, Lovis",Tapiau,1858,3
118522256,"Anonym, französisch, 19. Jahrhundert",Paris,1801,1
118522256,"Chauvel, Théophile Narcisse",Paris,1831,1
118522256,"Corot, Jean-Baptiste-Camille",Paris,1796,25
118522450,"Courbet, Gustave",Ornans,1819,3
118522582,Anonym,Kronach,1472,1
118522582,"Anonym, deutsch, 16. Jahrhundert",Kronach,1501,3
118522582,"Cranach, Lucas, der Ältere",Kronach,1472,79
118522582,Monogrammist MV,Kronach,1501,1
118522590,"Anonym, deutsch, 16. Jahrhundert",Wittenberg,1501,2
118523880,"Anonym, 19. Jahrhundert",Marseille,1801,5
118523880,"Anonym, französisch, 19. Jahrhundert",Marseille,1801,1
118523880,"Daumier, Honoré",Marseille,1808,471
118523945,"Anonym, französisch, 17. Jahrhundert",Paris,1601,1
118523945,"David, Jacques Louis",Paris,1748,19
118524291,"Degas, Edgar",Paris,1834,27
118524496,"Delaunay, Robert",Paris,1885,7
118524755,"Derain, André",Chatou,1880,30
11852559X,"Anonym, deutsch, 17. Jahrhundert",Pfullendorf,1601,2
11852559X,"Dietterlin, Wendel",Pfullendorf,1550,11
118526839,"Anonym, französisch, 19. Jahrhundert",Straßburg,1801,1
118526839,Clarlante,Straßburg,1801,1
118526839,"Delduc, Édouard",Straßburg,1864,3
118526839,"Doré, Gustave",Straßburg,1832,67
118526839,"Dumont, Louis-Paul-Pierre",Straßburg,1822,1
11852786X,Anonym,Nürnberg,1471,458
11852786X,Anonym,Nürnberg,1750,1
11852786X,Anonym,Nürnberg,1808,1
11852786X,"Anonym, 16. Jahrhundert",Nürnberg,1501,1
11852786X,"Anonym, deutsch",Nürnberg,1471,1
11852786X,"Anonym, deutsch, 15. Jahrhundert",Nürnberg,1401,5
11852786X,"Anonym, deutsch, 16. Jahrhundert",Nürnberg,1501,36
11852786X,"Anonym, deutsch, 17. Jahrhundert",Nürnberg,1601,3
11852786X,"Anonym, deutsch, 18. Jahrhundert",Nürnberg,1701,4
11852786X,"Anonym, deutsch, 19. Jahrhundert",Nürnberg,1801,12
11852786X,"Anonym, englisch, 18. Jahrhundert",Nürnberg,1701,1
11852786X,"Anonym, englisch, 19. Jahrhundert",Nürnberg,1801,41
11852786X,"Anonym, italienisch",Nürnberg,1471,1
11852786X,"Anonym, italienisch, 16. Jahrhundert",Nürnberg,1501,7
11852786X,"Anonym, niederländisch, 16. Jahrhundert",Nürnberg,1501,2
11852786X,"Anonym, niederländisch, 17. Jahrhundert",Nürnberg,1601,1
11852786X,"Battmann, Joseph",Nürnberg,1801,1
11852786X,"Cesena, Peregrino da",Nürnberg,1480,1
11852786X,"Corner, J.",Nürnberg,1801,1
11852786X,"Dürer, Albrecht",Nürnberg,1471,637
11852786X,"Favart, C. A.",Nürnberg,1471,5
11852786X,"Fink, H. W.",Nürnberg,1801,1
11852786X,"Garnier, Noël",Nürnberg,1470,2
11852786X,"Gläser, Andreas",Nürnberg,1750,1
11852786X,"Klar, Paul Alois",Nürnberg,1820,1
11852786X,"König, Peter",Nürnberg,1551,5
11852786X,"Louis, Johann",Nürnberg,1471,1
11852786X,Meister MTR,Nürnberg,1501,1
11852786X,Monogrammist AF,Nürnberg,1501,1
11852786X,Monogrammist AG,Nürnberg,1501,1
11852786X,Monogrammist AV,Nürnberg,1501,2
11852786X,Monogrammist B,Nürnberg,1501,1
11852786X,Monogrammist BG,Nürnberg,1501,1
11852786X,Monogrammist FT,Nürnberg,1501,1
11852786X,Monogrammist GH,Nürnberg,1501,1
11852786X,Monogrammist HBIS,Nürnberg,1501,1
11852786X,Monogrammist HF,Nürnberg,1495,4
11852786X,Monogrammist HH I,Nürnberg,1501,1
11852786X,Monogrammist HM,Nürnberg,1471,1
11852786X,Monogrammist HN,Nürnberg,1471,1
11852786X,Monogrammist HR,Nürnberg,1501,1
11852786X,Monogrammist HS I,Nürnberg,1485,3
